Round,HomeTeam,AwayTeam,FTR
1,Blackburn,Sunderland,D
1,Charlton,Chelsea,A
1,Everton,Tottenham,D
1,Fulham,Bolton,H
1,Leeds,Man City,H
1,Man United,West Brom,H
1,Southampton,Middlesbrough,D
1,Arsenal,Birmingham,H
1,Aston Villa,Liverpool,A
1,Newcastle,West Ham,H
2,Chelsea,Man United,D
2,Birmingham,Blackburn,A
2,Bolton,Charlton,A
2,Liverpool,Southampton,H
2,Man City,Newcastle,H
2,Middlesbrough,Fulham,D
2,Sunderland,Everton,A
2,Tottenham,Aston Villa,H
2,West Brom,Leeds,A
2,West Ham,Arsenal,D
3,Arsenal,West Brom,H
3,Charlton,Tottenham,A
3,Aston Villa,Man City,H
3,Blackburn,Liverpool,D
3,Everton,Birmingham,D
3,Leeds,Sunderland,A
3,Southampton,Chelsea,D
3,Birmingham,Leeds,H
3,Man City,Everton,H
3,Middlesbrough,Blackburn,H
4,Sunderland,Man United,D
4,Tottenham,Southampton,H
4,West Brom,Fulham,H
4,West Ham,Charlton,A
4,Bolton,Aston Villa,H
4,Chelsea,Arsenal,D
4,Liverpool,Newcastle,D
4,Man United,Middlesbrough,H
4,Arsenal,Man City,H
4,Middlesbrough,Sunderland,H
5,Aston Villa,Charlton,H
5,Blackburn,Chelsea,A
5,Fulham,Tottenham,H
5,Liverpool,Birmingham,D
5,Man United,Bolton,A
5,Newcastle,Leeds,A
5,Southampton,Everton,H
5,West Ham,West Brom,A
5,Bolton,Liverpool,A
5,Charlton,Arsenal,A
6,Chelsea,Newcastle,H
6,Everton,Middlesbrough,H
6,Leeds,Man United,H
6,Sunderland,Fulham,A
6,West Brom,Southampton,H
6,Man City,Blackburn,D
6,Tottenham,West Ham,H
6,Birmingham,Aston Villa,H
6,Arsenal,Bolton,H
6,Liverpool,West Brom,H
7,Man United,Tottenham,H
7,Middlesbrough,Birmingham,H
7,Newcastle,Sunderland,H
7,Southampton,Charlton,D
7,West Ham,Man City,D
7,Aston Villa,Everton,H
7,Blackburn,Leeds,H
7,Fulham,Chelsea,D
7,Birmingham,Newcastle,A
7,Bolton,Southampton,D
8,Charlton,Man United,A
8,Chelsea,West Ham,A
8,Everton,Fulham,H
8,Leeds,Arsenal,A
8,Man City,Liverpool,A
8,Sunderland,Aston Villa,H
8,Tottenham,Middlesbrough,A
8,West Brom,Blackburn,A
8,Middlesbrough,Bolton,H
8,Newcastle,West Brom,H
9,Southampton,Man City,H
9,West Ham,Birmingham,A
9,Arsenal,Sunderland,H
9,Aston Villa,Leeds,D
9,Blackburn,Tottenham,A
9,Fulham,Charlton,H
9,Liverpool,Chelsea,H
9,Man United,Everton,H
9,Blackburn,Newcastle,H
9,Everton,Arsenal,H
10,Fulham,Man United,D
10,Leeds,Liverpool,A
10,Man City,Chelsea,A
10,Sunderland,West Ham,A
10,West Brom,Birmingham,D
10,Charlton,Middlesbrough,H
10,Tottenham,Bolton,H
10,Aston Villa,Southampton,A
10,Fulham,West Ham,A
10,Arsenal,Blackburn,A
11,Birmingham,Man City,A
11,Chelsea,West Brom,H
11,Liverpool,Tottenham,H
11,Man United,Aston Villa,D
11,Middlesbrough,Leeds,D
11,Newcastle,Charlton,H
11,Southampton,Fulham,H
11,West Ham,Everton,A
11,Bolton,Sunderland,D
11,Birmingham,Bolton,H
12,Liverpool,West Ham,H
12,Man United,Southampton,H
12,West Brom,Man City,A
12,Blackburn,Aston Villa,D
12,Charlton,Sunderland,D
12,Fulham,Arsenal,A
12,Leeds,Everton,A
12,Tottenham,Chelsea,D
12,Newcastle,Middlesbrough,H
12,Arsenal,Newcastle,H
13,Aston Villa,Fulham,H
13,Bolton,West Brom,D
13,Chelsea,Birmingham,H
13,Everton,Charlton,H
13,Man City,Man United,H
13,Middlesbrough,Liverpool,H
13,Southampton,Blackburn,D
13,Sunderland,Tottenham,H
13,West Ham,Leeds,A
13,Arsenal,Tottenham,H
14,Chelsea,Middlesbrough,H
14,Man City,Charlton,A
14,Newcastle,Southampton,H
14,West Brom,Aston Villa,D
14,Birmingham,Fulham,D
14,Blackburn,Everton,A
14,Leeds,Bolton,A
14,Liverpool,Sunderland,D
14,West Ham,Man United,D
14,Aston Villa,West Ham,H
15,Bolton,Chelsea,D
15,Everton,West Brom,H
15,Fulham,Liverpool,H
15,Man United,Newcastle,H
15,Middlesbrough,Man City,H
15,Southampton,Arsenal,H
15,Sunderland,Birmingham,A
15,Charlton,Blackburn,H
15,Tottenham,Leeds,H
15,Arsenal,Aston Villa,H
16,Birmingham,Tottenham,D
16,Blackburn,Fulham,H
16,Chelsea,Sunderland,H
16,Man City,Bolton,H
16,West Brom,Middlesbrough,H
16,Leeds,Charlton,A
16,Liverpool,Man United,A
16,Newcastle,Everton,H
16,West Ham,Southampton,A
16,Aston Villa,Newcastle,A
17,Bolton,Blackburn,D
17,Charlton,Liverpool,H
17,Everton,Chelsea,A
