Round,HomeTeam,AwayTeam,FTR
1,Arsenal,Aston Villa,D
1,Bolton,Tottenham,H
1,Everton,Watford,H
1,Newcastle,Wigan,H
1,Portsmouth,Blackburn,H
1,Reading,Middlesbrough,H
1,Sheffield United,Liverpool,D
1,West Ham,Charlton,H
1,Chelsea,Man City,H
1,Man United,Fulham,H
2,Tottenham,Sheffield United,H
2,Watford,West Ham,D
2,Aston Villa,Reading,H
2,Blackburn,Everton,D
2,Charlton,Man United,A
2,Fulham,Bolton,D
2,Man City,Portsmouth,D
2,Middlesbrough,Chelsea,H
2,Charlton,Bolton,H
2,Fulham,Sheffield United,H
3,Liverpool,West Ham,H
3,Man City,Arsenal,H
3,Tottenham,Everton,A
3,Watford,Man United,A
3,Wigan,Reading,H
3,Aston Villa,Newcastle,H
3,Blackburn,Chelsea,A
3,Middlesbrough,Portsmouth,A
3,Arsenal,Middlesbrough,D
3,Bolton,Watford,H
4,Chelsea,Charlton,H
4,Everton,Liverpool,H
4,Man United,Tottenham,H
4,Newcastle,Fulham,A
4,Portsmouth,Wigan,H
4,Sheffield United,Blackburn,D
4,West Ham,Aston Villa,D
4,Reading,Man City,H
4,Bolton,Middlesbrough,D
4,Charlton,Portsmouth,A
5,Everton,Wigan,D
5,Sheffield United,Reading,A
5,Watford,Aston Villa,D
5,Blackburn,Man City,H
5,Chelsea,Liverpool,H
5,Man United,Arsenal,A
5,Tottenham,Fulham,D
5,West Ham,Newcastle,A
5,Liverpool,Newcastle,H
5,Arsenal,Sheffield United,H
6,Aston Villa,Charlton,H
6,Fulham,Chelsea,A
6,Liverpool,Tottenham,H
6,Man City,West Ham,H
6,Middlesbrough,Blackburn,A
6,Reading,Man United,D
6,Wigan,Watford,D
6,Newcastle,Everton,D
6,Portsmouth,Bolton,A
6,Bolton,Liverpool,H
7,Charlton,Arsenal,A
7,Chelsea,Aston Villa,D
7,Everton,Man City,D
7,Sheffield United,Middlesbrough,H
7,Blackburn,Wigan,H
7,Man United,Newcastle,H
7,Tottenham,Portsmouth,H
7,West Ham,Reading,A
7,Watford,Fulham,D
7,Arsenal,Watford,H
8,Aston Villa,Tottenham,D
8,Liverpool,Blackburn,D
8,Man City,Sheffield United,D
8,Middlesbrough,Everton,H
8,Portsmouth,West Ham,H
8,Reading,Chelsea,A
8,Wigan,Man United,A
8,Newcastle,Bolton,A
8,Fulham,Charlton,H
8,Aston Villa,Fulham,D
9,Charlton,Watford,D
9,Chelsea,Portsmouth,H
9,Everton,Sheffield United,H
9,Wigan,Man City,H
9,Blackburn,Bolton,A
9,Man United,Liverpool,H
9,Middlesbrough,Newcastle,H
9,Reading,Arsenal,A
9,Tottenham,West Ham,H
9,Arsenal,Everton,D
10,Bolton,Man United,A
10,Fulham,Wigan,A
10,Liverpool,Aston Villa,H
10,Newcastle,Charlton,D
10,Portsmouth,Reading,H
10,Sheffield United,Chelsea,A
10,Watford,Tottenham,D
10,West Ham,Blackburn,H
10,Man City,Middlesbrough,H
10,Bolton,Wigan,A
11,Charlton,Man City,H
11,Fulham,Everton,H
11,Liverpool,Reading,H
11,Man United,Portsmouth,H
11,Newcastle,Sheffield United,A
11,Watford,Middlesbrough,H
11,Aston Villa,Blackburn,H
11,Tottenham,Chelsea,H
11,West Ham,Arsenal,H
11,Blackburn,Man United,A
12,Chelsea,Watford,H
12,Everton,Aston Villa,A
12,Man City,Newcastle,D
12,Middlesbrough,West Ham,H
12,Portsmouth,Fulham,D
12,Sheffield United,Bolton,D
12,Wigan,Charlton,H
12,Arsenal,Liverpool,H
12,Reading,Tottenham,H
12,Arsenal,Newcastle,D
13,Chelsea,West Ham,H
13,Everton,Bolton,H
13,Man City,Fulham,H
13,Middlesbrough,Liverpool,D
13,Portsmouth,Watford,H
13,Reading,Charlton,H
13,Sheffield United,Man United,A
13,Blackburn,Tottenham,D
13,Wigan,Aston Villa,D
13,Aston Villa,Middlesbrough,D
14,Bolton,Arsenal,H
14,Charlton,Everton,D
14,Fulham,Reading,A
14,Liverpool,Man City,H
14,West Ham,Sheffield United,H
14,Man United,Chelsea,D
14,Newcastle,Portsmouth,H
14,Tottenham,Wigan,H
14,Watford,Sheffield United,A
14,Aston Villa,Man City,A
15,Bolton,Chelsea,A
15,Fulham,Arsenal,H
15,Liverpool,Portsmouth,D
15,Man United,Everton,H
15,Arsenal,Tottenham,H
15,Blackburn,Fulham,H
15,Middlesbrough,Man United,A
15,Portsmouth,Aston Villa,D
15,Reading,Bolton,H
15,Sheffield United,Charlton,H
16,Wigan,Liverpool,A
16,Everton,West Ham,H
16,Man City,Watford,D
16,Charlton,Blackburn,H
16,Tottenham,Middlesbrough,H
16,Newcastle,Reading,H
16,West Ham,Wigan,A
16,Blackburn,Newcastle,A
16,Bolton,West Ham,H
16,Liverpool,Fulham,H
17,Man United,Man City,H
17,Middlesbrough,Wigan,D
