Round,HomeTeam,AwayTeam,FTR
1,Arsenal,Sunderland,D
1,Fulham,Norwich,H
1,Newcastle,Tottenham,H
1,QPR,Swansea,A
1,Reading,Stoke,D
1,West Brom,Liverpool,H
1,West Ham,Aston Villa,H
1,Man City,Southampton,H
1,Wigan,Chelsea,A
1,Everton,Man United,H
2,Chelsea,Reading,H
2,Aston Villa,Everton,A
2,Chelsea,Newcastle,H
2,Man United,Fulham,H
2,Norwich,QPR,D
2,Southampton,Wigan,A
2,Swansea,West Ham,H
2,Tottenham,West Brom,D
2,Liverpool,Man City,D
2,Stoke,Arsenal,D
3,Man City,QPR,H
3,Swansea,Sunderland,D
3,Tottenham,Norwich,D
3,West Brom,Everton,H
3,West Ham,Fulham,H
3,Wigan,Stoke,D
3,Liverpool,Arsenal,A
3,Newcastle,Aston Villa,D
3,Southampton,Man United,A
3,Arsenal,Southampton,H
4,Aston Villa,Swansea,H
4,Fulham,West Brom,H
4,Man United,Wigan,H
4,Norwich,West Ham,D
4,QPR,Chelsea,D
4,Stoke,Man City,D
4,Sunderland,Liverpool,D
4,Reading,Tottenham,A
4,Everton,Newcastle,D
4,Chelsea,Stoke,H
5,Southampton,Aston Villa,H
5,Swansea,Everton,A
5,West Brom,Reading,H
5,West Ham,Sunderland,D
5,Wigan,Fulham,A
5,Liverpool,Man United,A
5,Man City,Arsenal,D
5,Newcastle,Norwich,H
5,Tottenham,QPR,H
5,Arsenal,Chelsea,A
6,Everton,Southampton,H
6,Fulham,Man City,A
6,Man United,Tottenham,A
6,Norwich,Liverpool,A
6,Reading,Newcastle,D
6,Stoke,Swansea,H
6,Sunderland,Wigan,H
6,Aston Villa,West Brom,D
6,QPR,West Ham,A
6,Chelsea,Norwich,H
7,Man City,Sunderland,H
7,Swansea,Reading,D
7,West Brom,QPR,H
7,West Ham,Arsenal,A
7,Wigan,Everton,D
7,Liverpool,Stoke,D
7,Newcastle,Man United,A
7,Southampton,Fulham,D
7,Tottenham,Aston Villa,H
7,Fulham,Aston Villa,H
8,Liverpool,Reading,H
8,Man United,Stoke,H
8,Norwich,Arsenal,H
8,Swansea,Wigan,H
8,Tottenham,Chelsea,A
8,West Brom,Man City,A
8,West Ham,Southampton,H
8,QPR,Everton,D
8,Sunderland,Newcastle,D
8,Arsenal,QPR,H
9,Aston Villa,Norwich,D
9,Man City,Swansea,H
9,Reading,Fulham,D
9,Stoke,Sunderland,D
9,Wigan,West Ham,H
9,Chelsea,Man United,A
9,Everton,Liverpool,D
9,Newcastle,West Brom,H
9,Southampton,Tottenham,A
9,Fulham,Everton,D
10,Man United,Arsenal,H
10,Norwich,Stoke,H
10,Sunderland,Aston Villa,A
10,Swansea,Chelsea,D
10,Tottenham,Wigan,A
10,West Ham,Man City,D
10,Liverpool,Newcastle,D
10,QPR,Reading,D
10,West Brom,Southampton,H
10,Arsenal,Fulham,D
11,Aston Villa,Man United,A
11,Everton,Sunderland,H
11,Reading,Norwich,D
11,Southampton,Swansea,D
11,Stoke,QPR,H
11,Wigan,West Brom,A
11,Chelsea,Liverpool,D
11,Man City,Tottenham,H
11,Newcastle,West Ham,A
11,Arsenal,Tottenham,H
12,Liverpool,Wigan,H
12,Man City,Aston Villa,H
12,Newcastle,Swansea,A
12,Norwich,Man United,H
