Round,HomeTeam,AwayTeam,FTR
19,Arsenal,Fulham,H
19,Birmingham,Middlesbrough,H
19,Blackburn,Newcastle,D
19,Chelsea,Aston Villa,H
19,Crystal Palace,Portsmouth,A
19,Everton,Man City,H
19,Man United,Bolton,H
19,Norwich,Tottenham,A
19,Southampton,Charlton,D
19,West Brom,Liverpool,A
20,Aston Villa,Man United,A
20,Bolton,Blackburn,A
20,Charlton,Everton,H
20,Fulham,Birmingham,A
20,Liverpool,Southampton,H
20,Man City,West Brom,D
20,Middlesbrough,Norwich,H
20,Portsmouth,Chelsea,A
20,Tottenham,Crystal Palace,D
20,Newcastle,Arsenal,A
21,Aston Villa,Blackburn,H
21,Bolton,West Brom,D
21,Charlton,Arsenal,A
21,Fulham,Crystal Palace,H
21,Liverpool,Chelsea,A
21,Man City,Southampton,H
21,Middlesbrough,Man United,A
21,Newcastle,Birmingham,H
21,Portsmouth,Norwich,D
21,Tottenham,Everton,H
22,Blackburn,Charlton,H
22,Crystal Palace,Aston Villa,H
22,Norwich,Liverpool,A
22,West Brom,Newcastle,D
22,Arsenal,Man City,D
22,Birmingham,Bolton,A
22,Chelsea,Middlesbrough,H
22,Everton,Portsmouth,H
22,Man United,Tottenham,D
22,Southampton,Fulham,D
23,Aston Villa,Norwich,H
23,Bolton,Arsenal,H
23,Charlton,Birmingham,H
23,Liverpool,Man United,A
23,Man City,Crystal Palace,H
23,Newcastle,Southampton,H
23,Portsmouth,Blackburn,A
23,Tottenham,Chelsea,A
23,Fulham,West Brom,H
23,Middlesbrough,Everton,D
24,Birmingham,Fulham,A
24,Chelsea,Portsmouth,H
24,Crystal Palace,Tottenham,H
24,Everton,Charlton,A
24,Man United,Aston Villa,H
24,Norwich,Middlesbrough,D
24,Southampton,Liverpool,H
24,West Brom,Man City,H
24,Arsenal,Newcastle,H
24,Blackburn,Bolton,A
25,Arsenal,Man United,A
25,Bolton,Tottenham,H
25,Charlton,Liverpool,A
25,Portsmouth,Middlesbrough,H
25,West Brom,Crystal Palace,D
25,Birmingham,Southampton,H
25,Blackburn,Chelsea,A
25,Everton,Norwich,H
25,Fulham,Aston Villa,D
25,Man City,Newcastle,D
26,Aston Villa,Arsenal,A
26,Crystal Palace,Bolton,A
26,Liverpool,Fulham,H
26,Man United,Birmingham,H
26,Middlesbrough,Blackburn,H
26,Newcastle,Charlton,D
26,Norwich,West Brom,H
26,Tottenham,Portsmouth,H
26,Chelsea,Man City,D
26,Southampton,Everton,D
27,Birmingham,Liverpool,H
27,Blackburn,Norwich,H
27,Bolton,Middlesbrough,D
27,Everton,Chelsea,A
27,Portsmouth,Aston Villa,A
27,Man City,Man United,A
27,Arsenal,Crystal Palace,H
27,West Brom,Southampton,D
27,Aston Villa,Everton,A
27,Crystal Palace,Birmingham,H
28,Man United,Portsmouth,H
28,Southampton,Arsenal,D
28,Tottenham,Fulham,H
28,Middlesbrough,Charlton,D
28,Newcastle,Bolton,H
28,Norwich,Man City,A
28,Arsenal,Portsmouth,H
28,Aston Villa,Middlesbrough,H
28,Crystal Palace,Man United,D
28,Fulham,Charlton,D
29,Newcastle,Liverpool,H
29,Norwich,Chelsea,A
29,Southampton,Tottenham,H
29,Everton,Blackburn,A
29,West Brom,Birmingham,H
29,Man City,Bolton,A
29,Chelsea,West Brom,H
29,Charlton,Tottenham,H
29,Liverpool,Blackburn,D
29,Blackburn,Arsenal,A
30,Bolton,Norwich,H
30,Charlton,West Brom,A
30,Chelsea,Crystal Palace,H
30,Man United,Fulham,H
30,Portsmouth,Newcastle,D
30,Tottenham,Man City,H
30,Birmingham,Aston Villa,H
30,Liverpool,Everton,H
30,Middlesbrough,Southampton,A
30,Arsenal,Norwich,H
31,Birmingham,Tottenham,D
31,Charlton,Man City,D
31,Crystal Palace,Middlesbrough,A
31,Liverpool,Bolton,H
31,Man United,Blackburn,D
31,Newcastle,Aston Villa,A
31,Southampton,Chelsea,A
31,Fulham,Portsmouth,H
31,West Brom,Everton,H
31,Blackburn,Southampton,H
32,Bolton,Fulham,H
32,Chelsea,Birmingham,D
32,Man City,Liverpool,H
32,Middlesbrough,Arsenal,A
32,Norwich,Man United,H
32,Portsmouth,Charlton,H
32,Aston Villa,West Brom,D
32,Everton,Crystal Palace,H
32,Tottenham,Newcastle,H
32,Birmingham,Portsmouth,D
33,Charlton,Bolton,A
33,Crystal Palace,Norwich,D
33,Fulham,Man City,D
33,Liverpool,Tottenham,D
33,Southampton,Aston Villa,A
33,Bolton,Southampton,D
33,Middlesbrough,Fulham,D
33,Aston Villa,Charlton,D
33,Blackburn,Crystal Palace,H
33,Chelsea,Arsenal,D
34,Everton,Man United,H
34,Man City,Birmingham,H
34,Norwich,Newcastle,H
34,Portsmouth,Liverpool,A
34,Tottenham,West Brom,D
34,Aston Villa,Bolton,D
34,Blackburn,Man City,D
34,Chelsea,Fulham,H
34,Crystal Palace,Liverpool,H
34,Everton,Birmingham,D
35,Middlesbrough,West Brom,H
35,Norwich,Charlton,H
35,Man United,Newcastle,H
35,Portsmouth,Southampton,H
35,Arsenal,Tottenham,H
35,West Brom,Blackburn,D
35,Newcastle,Middlesbrough,D
35,Birmingham,Blackburn,H
35,Bolton,Chelsea,A
35,Fulham,Everton,H
36,Liverpool,Middlesbrough,D
36,Man City,Portsmouth,H
36,Newcastle,Crystal Palace,D
36,Southampton,Norwich,H
36,Charlton,Man United,A
36,Tottenham,Aston Villa,H
36,West Brom,Arsenal,A
36,Fulham,Newcastle,A
36,Aston Villa,Man City,A
36,Blackburn,Fulham,A
37,Chelsea,Charlton,H
37,Crystal Palace,Southampton,D
37,Everton,Newcastle,H
37,Man United,West Brom,D
37,Middlesbrough,Tottenham,H
37,Norwich,Birmingham,H
37,Portsmouth,Bolton,D
37,Arsenal,Liverpool,H
37,Man United,Chelsea,A
37,Arsenal,Everton,H
38,Birmingham,Arsenal,H
38,Bolton,Everton,H
38,Charlton,Crystal Palace,D
38,Fulham,Norwich,H
38,Liverpool,Aston Villa,H
38,Man City,Middlesbrough,D
38,Newcastle,Chelsea,D
38,Southampton,Man United,A
38,Tottenham,Blackburn,D
38,West Brom,Portsmouth,H
