Round,HomeTeam,AwayTeam,FTR
1,Arsenal,West Brom,H
1,Bolton,Stoke,H
1,Everton,Blackburn,A
1,Hull,Fulham,H
1,Middlesbrough,Tottenham,H
1,Sunderland,Liverpool,A
1,West Ham,Wigan,H
1,Aston Villa,Man City,H
1,Chelsea,Portsmouth,H
1,Man United,Newcastle,D
2,Blackburn,Hull,D
2,Fulham,Arsenal,H
2,Liverpool,Middlesbrough,H
2,Newcastle,Bolton,H
2,Stoke,Aston Villa,H
2,Tottenham,Sunderland,A
2,West Brom,Everton,A
2,Man City,West Ham,H
2,Wigan,Chelsea,A
2,Portsmouth,Man United,A
3,Arsenal,Newcastle,H
3,Bolton,West Brom,D
3,Everton,Portsmouth,A
3,Hull,Wigan,A
3,Middlesbrough,Stoke,H
3,West Ham,Blackburn,H
3,Aston Villa,Liverpool,D
3,Chelsea,Tottenham,D
3,Sunderland,Man City,A
3,Blackburn,Arsenal,A
4,Fulham,Bolton,H
4,Liverpool,Man United,H
4,Man City,Chelsea,A
4,Newcastle,Hull,A
4,Portsmouth,Middlesbrough,H
4,West Brom,West Ham,H
4,Wigan,Sunderland,D
4,Stoke,Everton,A
4,Tottenham,Aston Villa,A
4,Blackburn,Fulham,H
5,Bolton,Arsenal,A
5,Liverpool,Stoke,D
5,Sunderland,Middlesbrough,H
5,West Ham,Newcastle,H
5,Chelsea,Man United,D
5,Hull,Everton,D
5,Man City,Portsmouth,H
5,Tottenham,Wigan,D
5,West Brom,Aston Villa,A
5,Arsenal,Hull,A
6,Aston Villa,Sunderland,H
6,Everton,Liverpool,A
6,Fulham,West Ham,A
6,Man United,Bolton,H
6,Middlesbrough,West Brom,A
6,Newcastle,Blackburn,A
6,Stoke,Chelsea,A
6,Portsmouth,Tottenham,H
6,Wigan,Man City,H
6,Blackburn,Man United,A
7,Sunderland,Arsenal,D
7,West Brom,Fulham,H
7,Wigan,Middlesbrough,A
7,Chelsea,Aston Villa,H
7,Everton,Newcastle,D
7,Man City,Liverpool,A
7,Portsmouth,Stoke,H
7,Tottenham,Hull,A
7,West Ham,Bolton,A
7,Arsenal,Everton,H
8,Aston Villa,Portsmouth,D
8,Bolton,Blackburn,D
8,Fulham,Sunderland,D
8,Liverpool,Wigan,H
8,Man United,West Brom,H
8,Middlesbrough,Chelsea,A
8,Hull,West Ham,H
8,Stoke,Tottenham,H
8,Newcastle,Man City,D
8,Blackburn,Middlesbrough,D
9,Everton,Man United,D
9,Sunderland,Newcastle,H
9,West Brom,Hull,A
9,Chelsea,Liverpool,A
9,Man City,Stoke,H
9,Portsmouth,Fulham,D
9,Tottenham,Bolton,H
9,West Ham,Arsenal,A
9,Wigan,Aston Villa,A
9,Newcastle,West Brom,H
10,Arsenal,Tottenham,D
10,Aston Villa,Blackburn,H
10,Bolton,Everton,A
10,Fulham,Wigan,H
10,Hull,Chelsea,A
10,Liverpool,Portsmouth,H
10,Man United,West Ham,H
10,Middlesbrough,Man City,H
10,Stoke,Sunderland,H
10,Chelsea,Sunderland,H
11,Everton,Fulham,H
11,Man United,Hull,H
11,Middlesbrough,West Ham,D
11,Portsmouth,Wigan,A
11,Stoke,Arsenal,H
11,Tottenham,Liverpool,H
11,West Brom,Blackburn,D
11,Bolton,Man City,H
11,Newcastle,Aston Villa,H
11,Arsenal,Man United,H
12,Hull,Bolton,A
12,Liverpool,West Brom,H
12,Sunderland,Portsmouth,A
12,West Ham,Everton,A
12,Wigan,Stoke,D
12,Aston Villa,Middlesbrough,A
12,Blackburn,Chelsea,A
12,Fulham,Newcastle,H
12,Man City,Tottenham,A
12,Arsenal,Aston Villa,A
13,Blackburn,Sunderland,A
13,Bolton,Liverpool,A
13,Fulham,Tottenham,H
13,Man United,Stoke,H
13,Newcastle,Wigan,D
13,West Brom,Chelsea,A
13,West Ham,Portsmouth,D
13,Everton,Middlesbrough,D
13,Hull,Man City,D
13,Aston Villa,Man United,D
14,Chelsea,Newcastle,D
14,Liverpool,Fulham,D
14,Man City,Arsenal,H
14,Middlesbrough,Bolton,A
14,Portsmouth,Hull,D
14,Stoke,West Brom,H
14,Sunderland,West Ham,A
14,Tottenham,Blackburn,H
14,Wigan,Everton,H
14,Aston Villa,Fulham,D
