Round,HomeTeam,AwayTeam,FTR
1,Blackburn,Wolves,A
1,Fulham,Aston Villa,D
1,Liverpool,Sunderland,D
1,Newcastle,Arsenal,D
1,QPR,Bolton,A
1,Wigan,Norwich,D
1,Stoke,Chelsea,D
1,West Brom,Man United,A
1,Man City,Swansea,H
1,Tottenham,Everton,H
2,Aston Villa,Blackburn,H
2,Chelsea,West Brom,H
2,Everton,QPR,A
2,Sunderland,Newcastle,A
2,Swansea,Wigan,D
2,Bolton,Man City,A
2,Norwich,Stoke,D
2,Wolves,Fulham,H
2,Man United,Tottenham,H
2,Aston Villa,Wolves,D
3,Blackburn,Everton,A
3,Chelsea,Norwich,H
3,Liverpool,Bolton,H
3,Swansea,Sunderland,D
3,Wigan,QPR,H
3,Man United,Arsenal,H
3,Newcastle,Fulham,H
3,Tottenham,Man City,A
3,West Brom,Stoke,A
3,Arsenal,Swansea,H
4,Bolton,Man United,A
4,Everton,Aston Villa,D
4,Man City,Wigan,H
4,Stoke,Liverpool,H
4,Sunderland,Chelsea,A
4,Wolves,Tottenham,A
4,Fulham,Blackburn,D
4,Norwich,West Brom,A
4,QPR,Newcastle,D
4,Aston Villa,Newcastle,D
5,Blackburn,Arsenal,H
5,Bolton,Norwich,A
5,Everton,Wigan,H
5,Swansea,West Brom,H
5,Wolves,QPR,A
5,Fulham,Man City,D
5,Man United,Chelsea,H
5,Sunderland,Stoke,H
5,Tottenham,Liverpool,H
5,Arsenal,Bolton,H
6,Chelsea,Swansea,H
6,Liverpool,Wolves,H
6,Man City,Everton,H
6,Newcastle,Blackburn,H
6,Stoke,Man United,D
6,West Brom,Fulham,D
6,Wigan,Tottenham,A
6,QPR,Aston Villa,D
6,Norwich,Sunderland,H
6,Aston Villa,Wigan,H
7,Blackburn,Man City,A
7,Everton,Liverpool,A
7,Man United,Norwich,H
7,Sunderland,West Brom,D
7,Wolves,Newcastle,A
7,Bolton,Chelsea,A
7,Fulham,QPR,H
7,Swansea,Stoke,H
7,Tottenham,Arsenal,H
7,Chelsea,Everton,H
8,Liverpool,Man United,D
8,Man City,Aston Villa,H
8,Norwich,Swansea,H
8,QPR,Blackburn,D
8,Stoke,Fulham,H
8,Wigan,Bolton,A
8,Arsenal,Sunderland,H
8,Newcastle,Tottenham,D
8,West Brom,Wolves,H
8,Aston Villa,West Brom,A
9,Bolton,Sunderland,A
9,Liverpool,Norwich,D
9,Newcastle,Wigan,H
9,Wolves,Swansea,D
9,Arsenal,Stoke,H
9,Blackburn,Tottenham,A
9,Fulham,Everton,A
9,Man United,Man City,A
9,QPR,Chelsea,H
9,Chelsea,Arsenal,A
10,Everton,Man United,A
10,Man City,Wolves,H
10,Norwich,Blackburn,D
10,Sunderland,Aston Villa,D
10,Swansea,Bolton,H
10,West Brom,Liverpool,A
10,Wigan,Fulham,A
10,Tottenham,QPR,H
10,Stoke,Newcastle,A
10,Arsenal,West Brom,H
11,Aston Villa,Norwich,H
11,Blackburn,Chelsea,A
11,Liverpool,Swansea,D
11,Man United,Sunderland,H
11,Newcastle,Everton,H
11,QPR,Man City,A
11,Bolton,Stoke,H
11,Fulham,Tottenham,A
11,Wolves,Wigan,H
11,Everton,Wolves,H
12,Man City,Newcastle,H
12,Norwich,Arsenal,A
12,Stoke,QPR,A
12,Sunderland,Fulham,D
12,Swansea,Man United,A
12,West Brom,Bolton,H
12,Wigan,Blackburn,D
12,Chelsea,Liverpool,A
12,Tottenham,Aston Villa,H
12,Arsenal,Fulham,D
13,Bolton,Everton,A
13,Chelsea,Wolves,H
13,Man United,Newcastle,D
13,Norwich,QPR,H
13,Stoke,Blackburn,H
13,Sunderland,Wigan,A
13,West Brom,Tottenham,A
13,Liverpool,Man City,D
13,Swansea,Aston Villa,D
13,Aston Villa,Man United,A
14,Blackburn,Swansea,H
14,Man City,Norwich,H
14,Newcastle,Chelsea,A
14,QPR,West Brom,D
14,Tottenham,Bolton,H
14,Wigan,Arsenal,A
14,Everton,Stoke,A
14,Wolves,Sunderland,H
14,Fulham,Liverpool,H
14,Arsenal,Everton,H
15,Bolton,Aston Villa,A
15,Liverpool,QPR,H
15,Man United,Wolves,H
15,Norwich,Newcastle,H
15,Swansea,Fulham,H
15,West Brom,Wigan,A
15,Stoke,Tottenham,H
15,Sunderland,Blackburn,H
15,Chelsea,Man City,H
15,Blackburn,West Brom,A
16,Everton,Norwich,D
16,Fulham,Bolton,H
16,Newcastle,Swansea,D
16,Wigan,Chelsea,D
16,Wolves,Stoke,A
16,Aston Villa,Liverpool,A
16,Man City,Arsenal,H
16,QPR,Man United,A
16,Tottenham,Sunderland,H
16,Blackburn,Bolton,A
17,Wolves,Norwich,D
17,Aston Villa,Arsenal,A
17,Everton,Swansea,H
17,Fulham,Man United,A
17,Man City,Stoke,H
17,Newcastle,West Brom,A
17,QPR,Sunderland,A
17,Wigan,Liverpool,D
17,Tottenham,Chelsea,D
17,Bolton,Newcastle,A
18,Chelsea,Fulham,D
18,Liverpool,Blackburn,D
18,Man United,Wigan,H
18,Stoke,Aston Villa,D
18,Sunderland,Everton,D
18,West Brom,Man City,D
18,Arsenal,Wolves,D
18,Norwich,Tottenham,A
18,Swansea,QPR,D
18,Liverpool,Newcastle,H
19,Arsenal,QPR,H
19,Bolton,Wolves,D
19,Chelsea,Aston Villa,A
19,Man United,Blackburn,A
19,Norwich,Fulham,D
19,Stoke,Wigan,D
19,Swansea,Tottenham,D
19,Sunderland,Man City,H
19,West Brom,Everton,A
19,Aston Villa,Swansea,A
20,Blackburn,Stoke,A
20,Fulham,Arsenal,H
20,QPR,Norwich,A
20,Wolves,Chelsea,A
20,Man City,Liverpool,H
20,Tottenham,West Brom,H
20,Wigan,Sunderland,A
20,Everton,Bolton,A
20,Newcastle,Man United,H
20,Tottenham,Everton,H
21,Aston Villa,Everton,D
21,Blackburn,Fulham,H
21,Chelsea,Sunderland,H
21,Liverpool,Stoke,D
21,Man United,Bolton,H
21,Tottenham,Wolves,D
21,West Brom,Norwich,A
21,Newcastle,QPR,H
21,Swansea,Arsenal,H
21,Wigan,Man City,A
22,Bolton,Liverpool,H
22,Everton,Blackburn,D
22,Fulham,Newcastle,H
22,Norwich,Chelsea,D
22,QPR,Wigan,H
22,Stoke,West Brom,A
22,Sunderland,Swansea,H
22,Wolves,Aston Villa,A
22,Arsenal,Man United,A
22,Man City,Tottenham,H
23,Everton,Man City,H
23,Man United,Stoke,H
23,Swansea,Chelsea,D
23,Tottenham,Wigan,H
23,Wolves,Liverpool,A
23,Aston Villa,QPR,D
