Round,HomeTeam,AwayTeam,FTR
23,Blackburn,Newcastle,A
23,Bolton,Arsenal,D
23,Fulham,West Brom,D
23,Sunderland,Norwich,H
24,Arsenal,Blackburn,H
24,Man City,Fulham,H
24,Norwich,Bolton,H
24,QPR,Wolves,A
24,Stoke,Sunderland,A
24,West Brom,Swansea,A
24,Wigan,Everton,D
24,Chelsea,Man United,D
24,Newcastle,Aston Villa,H
24,Liverpool,Tottenham,D
25,Blackburn,QPR,H
25,Bolton,Wigan,A
25,Everton,Chelsea,H
25,Fulham,Stoke,H
25,Man United,Liverpool,H
25,Sunderland,Arsenal,A
25,Swansea,Norwich,A
25,Tottenham,Newcastle,H
25,Aston Villa,Man City,A
25,Wolves,West Brom,A
26,Chelsea,Bolton,H
26,Man City,Blackburn,H
26,Newcastle,Wolves,D
26,QPR,Fulham,A
26,West Brom,Sunderland,H
26,Wigan,Aston Villa,D
26,Arsenal,Tottenham,H
26,Norwich,Man United,A
26,Stoke,Swansea,H
26,Blackburn,Aston Villa,D
27,Liverpool,Arsenal,A
27,Man City,Bolton,H
27,QPR,Everton,D
27,Stoke,Norwich,H
27,West Brom,Chelsea,H
27,Wigan,Swansea,A
27,Fulham,Wolves,H
27,Newcastle,Sunderland,D
27,Tottenham,Man United,A
27,Aston Villa,Fulham,H
28,Bolton,QPR,H
28,Chelsea,Stoke,H
28,Everton,Tottenham,H
28,Sunderland,Liverpool,H
28,Wolves,Blackburn,A
28,Man United,West Brom,H
28,Norwich,Wigan,D
28,Swansea,Man City,H
28,Arsenal,Newcastle,H
28,Liverpool,Everton,H
29,Fulham,Swansea,A
29,Wigan,West Brom,D
29,Newcastle,Norwich,H
29,Wolves,Man United,A
29,Blackburn,Sunderland,H
29,Everton,Arsenal,A
29,Man City,Chelsea,H
29,QPR,Liverpool,H
29,Tottenham,Stoke,D
29,Arsenal,Aston Villa,H
30,Bolton,Blackburn,H
30,Chelsea,Tottenham,D
30,Liverpool,Wigan,A
30,Norwich,Wolves,H
30,Stoke,Man City,D
30,Sunderland,QPR,H
30,Swansea,Everton,A
30,West Brom,Newcastle,A
30,Man United,Fulham,H
30,Aston Villa,Chelsea,A
31,Everton,West Brom,H
31,Fulham,Norwich,H
31,Man City,Sunderland,D
31,QPR,Arsenal,H
31,Wigan,Stoke,H
31,Wolves,Bolton,A
31,Newcastle,Liverpool,H
31,Tottenham,Swansea,H
31,Blackburn,Man United,A
31,Swansea,Newcastle,A
32,Bolton,Fulham,A
32,Chelsea,Wigan,H
32,Liverpool,Aston Villa,D
32,Norwich,Everton,D
32,Stoke,Wolves,H
32,Sunderland,Tottenham,D
32,West Brom,Blackburn,H
32,Arsenal,Man City,H
32,Man United,QPR,H
32,Aston Villa,Stoke,D
33,Everton,Sunderland,H
33,Fulham,Chelsea,D
33,Newcastle,Bolton,H
33,Tottenham,Norwich,A
33,Blackburn,Liverpool,A
33,Man City,West Brom,H
33,QPR,Swansea,H
33,Wigan,Man United,H
33,Wolves,Arsenal,A
33,Norwich,Man City,A
34,Sunderland,Wolves,D
34,Swansea,Blackburn,H
34,West Brom,QPR,H
34,Man United,Aston Villa,H
34,Arsenal,Wigan,A
34,Arsenal,Chelsea,D
34,Aston Villa,Sunderland,D
34,Blackburn,Norwich,H
34,Bolton,Swansea,D
34,Fulham,Wigan,H
35,Newcastle,Stoke,H
35,QPR,Tottenham,H
35,Liverpool,West Brom,A
35,Man United,Everton,D
35,Wolves,Man City,A
35,Aston Villa,Bolton,A
35,Everton,Fulham,H
35,Norwich,Liverpool,A
35,Stoke,Arsenal,D
35,Sunderland,Bolton,D
36,Swansea,Wolves,D
36,West Brom,Aston Villa,D
36,Wigan,Newcastle,H
36,Chelsea,QPR,H
36,Tottenham,Blackburn,H
36,Man City,Man United,H
36,Liverpool,Fulham,A
36,Stoke,Everton,D
36,Bolton,Tottenham,A
36,Chelsea,Newcastle,A
37,Arsenal,Norwich,D
37,Aston Villa,Tottenham,D
37,Bolton,West Brom,D
37,Fulham,Sunderland,H
37,Man United,Swansea,H
37,Newcastle,Man City,A
37,QPR,Stoke,H
37,Wolves,Everton,D
37,Blackburn,Wigan,A
37,Liverpool,Chelsea,H
38,Chelsea,Blackburn,H
38,Everton,Newcastle,H
38,Man City,QPR,H
38,Norwich,Aston Villa,H
38,Stoke,Bolton,D
38,Sunderland,Man United,A
38,Swansea,Liverpool,H
38,Tottenham,Fulham,H
38,West Brom,Arsenal,A
38,Wigan,Wolves,H
