Round,HomeTeam,AwayTeam,FTR
1,Aston Villa,Bolton,D
1,Everton,Man United,A
1,Fulham,Birmingham,D
1,Man City,West Brom,D
1,Middlesbrough,Liverpool,D
1,Portsmouth,Tottenham,A
1,Sunderland,Charlton,A
1,West Ham,Blackburn,H
1,Arsenal,Newcastle,H
1,Wigan,Chelsea,A
2,Birmingham,Man City,A
2,Blackburn,Fulham,H
2,Charlton,Wigan,H
2,Liverpool,Sunderland,H
2,Man United,Aston Villa,H
2,Newcastle,West Ham,D
2,Tottenham,Middlesbrough,H
2,West Brom,Portsmouth,H
2,Bolton,Everton,A
2,Chelsea,Arsenal,H
3,Birmingham,Middlesbrough,A
3,Portsmouth,Aston Villa,D
3,Sunderland,Man City,A
3,Arsenal,Fulham,H
3,Blackburn,Tottenham,D
3,Bolton,Newcastle,H
3,Chelsea,West Brom,H
3,Aston Villa,Blackburn,H
3,Fulham,Everton,H
3,Man City,Portsmouth,H
4,Tottenham,Chelsea,A
4,West Brom,Birmingham,A
4,West Ham,Bolton,A
4,Wigan,Sunderland,H
4,Middlesbrough,Charlton,A
4,Newcastle,Man United,A
4,Birmingham,Charlton,A
4,Chelsea,Sunderland,H
4,Everton,Portsmouth,A
4,Man United,Man City,D
5,Middlesbrough,Arsenal,H
5,Newcastle,Fulham,D
5,Tottenham,Liverpool,D
5,West Brom,Wigan,A
5,Bolton,Blackburn,D
5,West Ham,Aston Villa,H
5,Aston Villa,Tottenham,D
5,Charlton,Chelsea,A
5,Fulham,West Ham,A
5,Portsmouth,Birmingham,D
6,Sunderland,West Brom,D
6,Blackburn,Newcastle,A
6,Liverpool,Man United,D
6,Man City,Bolton,A
6,Wigan,Middlesbrough,D
6,Arsenal,Everton,H
6,Birmingham,Liverpool,D
6,Bolton,Portsmouth,H
6,Chelsea,Aston Villa,H
6,Everton,Wigan,A
7,Man United,Blackburn,A
7,Newcastle,Man City,H
7,West Brom,Charlton,A
7,West Ham,Arsenal,D
7,Middlesbrough,Sunderland,A
7,Tottenham,Fulham,H
7,Blackburn,West Brom,H
7,Charlton,Tottenham,A
7,Fulham,Man United,A
7,Portsmouth,Newcastle,D
8,Sunderland,West Ham,D
8,Arsenal,Birmingham,H
8,Aston Villa,Middlesbrough,A
8,Liverpool,Chelsea,A
8,Man City,Everton,H
8,Wigan,Bolton,H
8,Chelsea,Bolton,H
8,Liverpool,Blackburn,H
8,Middlesbrough,Portsmouth,D
8,Sunderland,Man United,A
9,Tottenham,Everton,H
9,West Brom,Arsenal,H
9,Wigan,Newcastle,H
9,Birmingham,Aston Villa,A
9,Man City,West Ham,H
9,Charlton,Fulham,D
9,Arsenal,Man City,H
9,Aston Villa,Wigan,A
9,Blackburn,Birmingham,H
9,Fulham,Liverpool,H
10,Man United,Tottenham,D
10,Portsmouth,Charlton,A
10,Bolton,West Brom,H
10,Everton,Chelsea,D
10,Newcastle,Sunderland,H
10,West Ham,Middlesbrough,H
10,Birmingham,Everton,A
10,Charlton,Bolton,A
10,Chelsea,Blackburn,H
10,Liverpool,West Ham,H
11,Middlesbrough,Man United,H
11,Sunderland,Portsmouth,A
11,Tottenham,Arsenal,D
11,Wigan,Fulham,H
11,West Brom,Newcastle,A
11,Man City,Aston Villa,H
11,Arsenal,Sunderland,H
11,Aston Villa,Liverpool,A
11,Blackburn,Charlton,H
11,Fulham,Man City,H
12,Newcastle,Birmingham,H
12,Portsmouth,Wigan,A
12,West Ham,West Brom,H
12,Everton,Middlesbrough,H
12,Man United,Chelsea,H
12,Bolton,Tottenham,H
12,Charlton,Man United,A
12,Chelsea,Newcastle,H
12,Liverpool,Portsmouth,H
12,Man City,Blackburn,D
13,Sunderland,Aston Villa,A
13,West Brom,Everton,H
13,Wigan,Arsenal,A
13,Middlesbrough,Fulham,H
13,Tottenham,West Ham,D
13,Arsenal,Blackburn,H
13,Aston Villa,Charlton,H
13,Man City,Liverpool,A
13,Portsmouth,Chelsea,A
13,Sunderland,Birmingham,A
14,Wigan,Tottenham,A
14,Everton,Newcastle,H
14,Fulham,Bolton,H
14,Middlesbrough,West Brom,D
14,West Ham,Man United,A
14,Sunderland,Liverpool,A
14,Blackburn,Everton,A
14,Bolton,Arsenal,H
14,Chelsea,Middlesbrough,H
14,Liverpool,Wigan,H
15,Man United,Portsmouth,H
15,Newcastle,Aston Villa,D
15,Tottenham,Sunderland,H
15,West Brom,Fulham,D
15,Charlton,Man City,A
15,Birmingham,West Ham,A
15,Birmingham,Fulham,H
15,Blackburn,West Ham,H
15,Bolton,Aston Villa,D
15,Charlton,Sunderland,H
16,Chelsea,Wigan,H
16,Liverpool,Middlesbrough,H
16,Newcastle,Arsenal,H
16,West Brom,Man City,H
16,Man United,Everton,D
16,Tottenham,Portsmouth,H
16,Everton,West Ham,A
16,Man United,Wigan,H
16,Aston Villa,Man United,A
16,Everton,Bolton,A
17,Fulham,Blackburn,H
17,Man City,Birmingham,H
17,Portsmouth,West Brom,H
17,West Ham,Newcastle,A
17,Wigan,Charlton,H
17,Arsenal,Chelsea,A
17,Middlesbrough,Tottenham,D
17,Aston Villa,Everton,H
17,Charlton,Arsenal,A
17,Chelsea,Fulham,H
18,Liverpool,Newcastle,H
18,Man United,West Brom,H
18,Middlesbrough,Blackburn,A
18,Portsmouth,West Ham,D
18,Sunderland,Bolton,D
18,Tottenham,Birmingham,H
18,Wigan,Man City,H
18,Arsenal,Portsmouth,H
18,Birmingham,Man United,D
18,Everton,Liverpool,A
19,Fulham,Aston Villa,D
19,Man City,Chelsea,A
19,West Brom,Tottenham,H
19,West Ham,Wigan,A
19,Aston Villa,Arsenal,D
19,Charlton,West Ham,H
19,Chelsea,Birmingham,H
19,Liverpool,West Brom,H
19,Man United,Bolton,H
19,Middlesbrough,Man City,D
20,Portsmouth,Fulham,H
20,Sunderland,Everton,A
20,Tottenham,Newcastle,H
20,Wigan,Blackburn,A
20,Birmingham,Wigan,H
20,Blackburn,Portsmouth,H
20,Bolton,Liverpool,D
20,Everton,Charlton,H
20,Fulham,Sunderland,H
20,Newcastle,Middlesbrough,D
21,West Brom,Aston Villa,A
21,West Ham,Chelsea,A
21,Arsenal,Man United,D
21,Man City,Tottenham,A
21,Arsenal,Middlesbrough,H
21,Aston Villa,West Ham,A
21,Blackburn,Bolton,D
21,Charlton,Birmingham,H
21,Fulham,Newcastle,H
21,Liverpool,Tottenham,H
22,Man City,Man United,H
