Round,HomeTeam,AwayTeam,FTR
1,Arsenal,Everton,H
1,Birmingham,Tottenham,H
1,Blackburn,Wolves,H
1,Fulham,Middlesbrough,H
1,Leicester,Southampton,D
1,Man United,Bolton,H
1,Portsmouth,Aston Villa,H
1,Charlton,Man City,A
1,Leeds,Newcastle,D
1,Liverpool,Chelsea,A
2,Bolton,Blackburn,D
2,Chelsea,Leicester,H
2,Everton,Fulham,H
2,Man City,Portsmouth,D
2,Newcastle,Man United,A
2,Southampton,Birmingham,D
2,Tottenham,Leeds,H
2,Wolves,Charlton,A
2,Aston Villa,Liverpool,D
2,Middlesbrough,Arsenal,A
3,Blackburn,Man City,A
3,Charlton,Everton,D
3,Leeds,Southampton,D
3,Leicester,Middlesbrough,D
3,Portsmouth,Bolton,H
3,Arsenal,Aston Villa,H
3,Liverpool,Tottenham,D
3,Man United,Wolves,H
3,Aston Villa,Leicester,H
3,Bolton,Charlton,D
4,Chelsea,Blackburn,D
4,Everton,Liverpool,A
4,Middlesbrough,Leeds,A
4,Newcastle,Birmingham,A
4,Tottenham,Fulham,A
4,Wolves,Portsmouth,D
4,Man City,Arsenal,A
4,Southampton,Man United,H
4,Arsenal,Portsmouth,D
4,Blackburn,Liverpool,A
5,Bolton,Middlesbrough,H
5,Charlton,Man United,A
5,Chelsea,Tottenham,H
5,Everton,Newcastle,D
5,Southampton,Wolves,H
5,Birmingham,Fulham,D
5,Man City,Aston Villa,H
5,Leicester,Leeds,H
5,Aston Villa,Charlton,H
5,Fulham,Man City,D
6,Leeds,Birmingham,A
6,Liverpool,Leicester,H
6,Newcastle,Bolton,D
6,Portsmouth,Blackburn,A
6,Tottenham,Southampton,A
6,Wolves,Chelsea,A
6,Man United,Arsenal,D
6,Middlesbrough,Everton,H
6,Arsenal,Newcastle,H
6,Birmingham,Portsmouth,H
7,Bolton,Wolves,D
7,Chelsea,Aston Villa,H
7,Leicester,Man United,A
7,Southampton,Middlesbrough,A
7,Blackburn,Fulham,A
7,Charlton,Liverpool,H
7,Everton,Leeds,H
7,Man City,Tottenham,D
7,Fulham,Leicester,H
7,Leeds,Blackburn,H
8,Liverpool,Arsenal,A
8,Man United,Birmingham,H
8,Newcastle,Southampton,H
8,Portsmouth,Charlton,A
8,Tottenham,Everton,H
8,Wolves,Man City,H
8,Aston Villa,Bolton,D
8,Middlesbrough,Chelsea,A
8,Birmingham,Chelsea,D
8,Arsenal,Chelsea,H
9,Fulham,Wolves,D
9,Leeds,Man United,A
9,Man City,Bolton,H
9,Middlesbrough,Newcastle,A
9,Portsmouth,Liverpool,H
9,Birmingham,Aston Villa,D
9,Everton,Southampton,D
9,Leicester,Tottenham,A
9,Blackburn,Charlton,A
9,Fulham,Newcastle,A
10,Aston Villa,Everton,D
10,Bolton,Birmingham,A
10,Chelsea,Man City,H
10,Liverpool,Leeds,H
10,Man United,Fulham,A
10,Newcastle,Portsmouth,H
10,Southampton,Blackburn,H
10,Wolves,Leicester,H
10,Charlton,Arsenal,D
10,Tottenham,Middlesbrough,D
11,Everton,Chelsea,A
11,Leeds,Arsenal,A
11,Man United,Portsmouth,H
11,Middlesbrough,Wolves,H
11,Newcastle,Aston Villa,D
11,Southampton,Man City,A
11,Tottenham,Bolton,A
