Round,HomeTeam,AwayTeam,FTR
1,Arsenal,Aston Villa,A
1,Liverpool,Stoke,H
1,Norwich,Everton,D
1,Sunderland,Fulham,A
1,Swansea,Man United,A
1,West Brom,Southampton,A
1,West Ham,Cardiff,H
1,Chelsea,Hull,H
1,Crystal Palace,Tottenham,A
1,Man City,Newcastle,H
2,Chelsea,Aston Villa,H
2,Aston Villa,Liverpool,A
2,Everton,West Brom,D
2,Fulham,Arsenal,A
2,Hull,Norwich,H
2,Newcastle,West Ham,D
2,Southampton,Sunderland,D
2,Stoke,Crystal Palace,H
2,Cardiff,Man City,H
2,Tottenham,Swansea,H
3,Man United,Chelsea,D
3,Cardiff,Everton,D
3,Crystal Palace,Sunderland,H
3,Man City,Hull,H
3,Newcastle,Fulham,H
3,Norwich,Southampton,H
3,West Ham,Stoke,A
3,Arsenal,Tottenham,H
3,Liverpool,Man United,H
3,West Brom,Swansea,A
4,Aston Villa,Newcastle,A
4,Everton,Chelsea,H
4,Fulham,West Brom,D
4,Hull,Cardiff,D
4,Man United,Crystal Palace,H
4,Stoke,Man City,D
4,Sunderland,Arsenal,A
4,Tottenham,Norwich,H
4,Southampton,West Ham,D
4,Swansea,Liverpool,D
5,Chelsea,Fulham,H
5,Liverpool,Southampton,A
5,Newcastle,Hull,A
5,Norwich,Aston Villa,A
5,West Brom,Sunderland,H
5,West Ham,Everton,A
5,Arsenal,Stoke,H
5,Cardiff,Tottenham,A
5,Crystal Palace,Swansea,A
5,Man City,Man United,H
6,Aston Villa,Man City,H
6,Fulham,Cardiff,A
6,Hull,West Ham,H
6,Man United,West Brom,A
6,Southampton,Crystal Palace,H
6,Swansea,Arsenal,A
6,Tottenham,Chelsea,D
6,Stoke,Norwich,A
6,Sunderland,Liverpool,A
6,Everton,Newcastle,H
7,Cardiff,Newcastle,A
7,Fulham,Stoke,H
7,Hull,Aston Villa,D
7,Liverpool,Crystal Palace,H
7,Man City,Everton,H
7,Sunderland,Man United,A
7,Norwich,Chelsea,A
7,Southampton,Swansea,H
7,Tottenham,West Ham,A
7,West Brom,Arsenal,D
8,Arsenal,Norwich,H
8,Chelsea,Cardiff,H
8,Everton,Hull,H
8,Man United,Southampton,D
8,Newcastle,Liverpool,D
8,Stoke,West Brom,D
8,Swansea,Sunderland,H
8,West Ham,Man City,A
8,Aston Villa,Tottenham,A
