Round,HomeTeam,AwayTeam,FTR
1,Charlton,Everton,A
1,Derby,Blackburn,H
1,Leeds,Southampton,H
1,Leicester,Bolton,A
1,Liverpool,West Ham,H
1,Middlesbrough,Arsenal,A
1,Sunderland,Ipswich,H
1,Tottenham,Aston Villa,D
1,Chelsea,Newcastle,D
1,Man United,Fulham,H
2,Everton,Tottenham,D
2,Arsenal,Leeds,A
2,Bolton,Middlesbrough,H
2,Ipswich,Derby,H
2,Blackburn,Man United,D
2,Fulham,Sunderland,H
2,Arsenal,Leicester,H
2,Blackburn,Tottenham,H
2,Everton,Middlesbrough,H
2,Fulham,Derby,D
3,Ipswich,Charlton,A
3,Southampton,Chelsea,A
3,West Ham,Leeds,D
3,Aston Villa,Man United,D
3,Newcastle,Sunderland,D
3,Bolton,Liverpool,H
3,Chelsea,Arsenal,D
3,Derby,West Ham,D
3,Leeds,Bolton,D
3,Leicester,Ipswich,D
4,Liverpool,Aston Villa,A
4,Man United,Everton,H
4,Middlesbrough,Newcastle,A
4,Sunderland,Blackburn,H
4,Charlton,Fulham,D
4,Tottenham,Southampton,H
4,Bolton,Southampton,A
4,Derby,Leicester,A
4,Everton,Liverpool,A
4,Fulham,Arsenal,A
5,Middlesbrough,West Ham,H
5,Newcastle,Man United,H
5,Aston Villa,Sunderland,D
5,Charlton,Leeds,A
5,Ipswich,Blackburn,D
5,Tottenham,Chelsea,A
5,Leicester,Middlesbrough,A
5,Blackburn,Bolton,D
5,Sunderland,Tottenham,A
5,Arsenal,Bolton,D
6,Blackburn,Everton,H
6,Leicester,Fulham,D
6,Liverpool,Tottenham,H
6,Man United,Ipswich,H
6,Sunderland,Charlton,D
6,Chelsea,Middlesbrough,D
6,Leeds,Derby,H
6,West Ham,Newcastle,H
6,Southampton,Aston Villa,A
6,Newcastle,Leicester,H
7,Bolton,Sunderland,A
7,Charlton,Leicester,H
7,Derby,Arsenal,A
7,Everton,West Ham,H
7,Middlesbrough,Southampton,A
7,Tottenham,Man United,A
7,Aston Villa,Blackburn,H
7,Fulham,Chelsea,D
7,Ipswich,Leeds,A
7,Newcastle,Liverpool,A
8,Bolton,Newcastle,A
8,Charlton,Middlesbrough,D
8,Chelsea,Leicester,H
8,Ipswich,Everton,D
8,Liverpool,Leeds,D
8,Southampton,Arsenal,A
8,Sunderland,Man United,A
8,Aston Villa,Fulham,H
8,Blackburn,West Ham,H
8,Tottenham,Derby,H
9,Arsenal,Blackburn,D
9,Derby,Charlton,D
9,Everton,Aston Villa,H
9,Leicester,Liverpool,A
9,Man United,Bolton,A
9,West Ham,Southampton,H
9,Fulham,Ipswich,D
9,Leeds,Chelsea,D
9,Newcastle,Tottenham,A
9,Middlesbrough,Sunderland,H
10,Aston Villa,Charlton,H
10,Southampton,Ipswich,D
10,West Ham,Chelsea,H
10,Aston Villa,Bolton,H
10,Charlton,Liverpool,A
10,Everton,Newcastle,A
10,Fulham,Southampton,H
10,Man United,Leeds,D
10,Sunderland,Arsenal,D
10,Tottenham,Middlesbrough,H
11,Derby,Chelsea,D
11,Ipswich,West Ham,A
11,Blackburn,Leicester,D
11,Bolton,Everton,D
11,Leicester,Sunderland,H
11,Middlesbrough,Derby,H
11,Newcastle,Aston Villa,H
11,Southampton,Blackburn,A
11,West Ham,Fulham,A
11,Arsenal,Charlton,A
12,Chelsea,Ipswich,H
12,Leeds,Tottenham,H
12,Liverpool,Man United,H
12,Aston Villa,Middlesbrough,D
12,Blackburn,Liverpool,D
12,Derby,Southampton,H
12,Fulham,Newcastle,H
12,Man United,Leicester,H
12,Tottenham,Arsenal,D
12,Everton,Chelsea,D
13,Ipswich,Bolton,A
13,Sunderland,Leeds,H
13,Charlton,West Ham,D
13,Bolton,Fulham,D
13,Chelsea,Blackburn,D
13,Leicester,Everton,D
13,Newcastle,Derby,H
13,Southampton,Charlton,H
13,West Ham,Tottenham,A
13,Arsenal,Man United,H
14,Leeds,Aston Villa,D
14,Liverpool,Sunderland,H
14,Middlesbrough,Ipswich,D
14,Aston Villa,Leicester,A
14,Blackburn,Middlesbrough,A
14,Charlton,Newcastle,D
14,Derby,Liverpool,A
14,Ipswich,Arsenal,A
14,Man United,Chelsea,A
14,Sunderland,West Ham,H
15,Everton,Southampton,H
15,Fulham,Leeds,D
15,Tottenham,Bolton,H
15,Chelsea,Charlton,A
15,West Ham,Aston Villa,D
15,Charlton,Tottenham,H
15,Derby,Bolton,H
15,Fulham,Everton,H
15,Leicester,Southampton,A
15,Liverpool,Middlesbrough,H
16,Man United,West Ham,A
16,Arsenal,Aston Villa,H
16,Blackburn,Leeds,A
16,Ipswich,Newcastle,A
16,Sunderland,Chelsea,D
16,Liverpool,Fulham,D
16,Man United,Derby,H
16,Bolton,Charlton,D
16,Everton,Derby,H
16,Middlesbrough,Man United,A
17,Newcastle,Blackburn,H
17,Southampton,Sunderland,H
17,Tottenham,Fulham,H
17,West Ham,Arsenal,D
17,Chelsea,Liverpool,H
17,Leeds,Leicester,D
17,Aston Villa,Ipswich,H
17,Arsenal,Newcastle,A
17,Leeds,Everton,H
17,Charlton,Blackburn,A
18,Derby,Aston Villa,H
18,Leeds,Newcastle,A
18,Leicester,West Ham,D
18,Man United,Southampton,H
18,Sunderland,Everton,H
18,Tottenham,Ipswich,A
18,Chelsea,Bolton,H
18,Liverpool,Arsenal,A
18,Arsenal,Chelsea,H
18,Aston Villa,Liverpool,A
19,Blackburn,Sunderland,A
19,Bolton,Leeds,A
19,Everton,Man United,A
19,Fulham,Charlton,D
19,Ipswich,Leicester,H
19,Newcastle,Middlesbrough,H
19,Southampton,Tottenham,H
19,West Ham,Derby,H
19,Arsenal,Middlesbrough,H
19,Aston Villa,Tottenham,D
20,Blackburn,Derby,A
20,Bolton,Leicester,D
20,Everton,Charlton,A
20,Ipswich,Sunderland,H
20,Newcastle,Chelsea,A
20,Southampton,Leeds,A
20,West Ham,Liverpool,D
20,Fulham,Man United,A
20,Charlton,Ipswich,H
20,Chelsea,Southampton,A
21,Leeds,West Ham,H
21,Liverpool,Bolton,D
21,Middlesbrough,Everton,H
21,Sunderland,Aston Villa,D
21,Tottenham,Blackburn,H
21,Derby,Fulham,A
21,Man United,Newcastle,H
21,Southampton,Liverpool,H
21,Aston Villa,Derby,H
21,Blackburn,Charlton,H
22,Bolton,Chelsea,D
22,Everton,Sunderland,H
22,Fulham,Middlesbrough,H
22,Ipswich,Tottenham,H
22,Newcastle,Leeds,H
22,West Ham,Leicester,H
22,Arsenal,Liverpool,D
22,Southampton,Man United,A
22,Derby,Ipswich,A
22,Leicester,Newcastle,D
23,Liverpool,Southampton,D
23,Man United,Blackburn,H
23,Middlesbrough,Bolton,D
23,Sunderland,Fulham,D
23,Tottenham,Everton,D
23,Chelsea,West Ham,H
23,Leeds,Arsenal,D
23,Charlton,Aston Villa,A
23,Man United,Liverpool,A
23,Leicester,Arsenal,A
24,Bolton,Man United,A
24,Charlton,Derby,H
24,Sunderland,Middlesbrough,A
24,Aston Villa,Everton,D
24,Blackburn,Arsenal,A
24,Chelsea,Leeds,H
24,Ipswich,Fulham,H
24,Liverpool,Leicester,H
24,Southampton,West Ham,H
24,Tottenham,Newcastle,A
25,Arsenal,Southampton,D
25,Derby,Tottenham,H
25,Everton,Ipswich,A
25,Fulham,Aston Villa,D
