Round,HomeTeam,AwayTeam,FTR
1,Aston Villa,Liverpool,A
1,Bolton,Newcastle,A
1,Derby,Portsmouth,D
1,Everton,Wigan,H
1,Middlesbrough,Blackburn,A
1,Sunderland,Tottenham,H
1,West Ham,Man City,A
1,Arsenal,Fulham,H
1,Chelsea,Birmingham,H
1,Man United,Reading,D
2,Tottenham,Everton,A
2,Birmingham,Sunderland,D
2,Fulham,Bolton,H
2,Man City,Derby,H
2,Portsmouth,Man United,D
2,Reading,Chelsea,A
2,Wigan,Middlesbrough,H
2,Birmingham,West Ham,A
2,Fulham,Middlesbrough,A
2,Newcastle,Aston Villa,D
3,Portsmouth,Bolton,H
3,Reading,Everton,H
3,Tottenham,Derby,H
3,Wigan,Sunderland,H
3,Blackburn,Arsenal,D
3,Liverpool,Chelsea,D
3,Man City,Man United,H
3,Arsenal,Man City,H
3,Aston Villa,Fulham,H
3,Bolton,Reading,H
4,Chelsea,Portsmouth,H
4,Derby,Birmingham,A
4,Everton,Blackburn,D
4,Sunderland,Liverpool,A
4,West Ham,Wigan,D
4,Man United,Tottenham,H
4,Middlesbrough,Newcastle,D
4,Bolton,Everton,A
4,Fulham,Tottenham,D
4,Liverpool,Derby,H
5,Man United,Sunderland,H
5,Middlesbrough,Birmingham,H
5,Newcastle,Wigan,H
5,Reading,West Ham,A
5,Arsenal,Portsmouth,H
5,Aston Villa,Chelsea,H
5,Blackburn,Man City,H
5,Birmingham,Bolton,H
5,Chelsea,Blackburn,D
5,Everton,Man United,A
6,Portsmouth,Liverpool,D
6,Sunderland,Reading,H
6,Tottenham,Arsenal,A
6,West Ham,Middlesbrough,H
6,Wigan,Fulham,D
6,Man City,Aston Villa,H
6,Derby,Newcastle,H
6,Arsenal,Derby,H
6,Fulham,Man City,D
6,Liverpool,Birmingham,D
7,Middlesbrough,Sunderland,D
7,Reading,Wigan,H
7,Aston Villa,Everton,H
7,Blackburn,Portsmouth,A
7,Bolton,Tottenham,D
7,Man United,Chelsea,H
7,Newcastle,West Ham,H
7,Birmingham,Man United,A
7,Chelsea,Fulham,D
7,Derby,Bolton,D
8,Man City,Newcastle,H
8,Portsmouth,Reading,H
8,Sunderland,Blackburn,A
8,West Ham,Arsenal,A
8,Wigan,Liverpool,A
8,Everton,Middlesbrough,H
8,Tottenham,Aston Villa,D
8,Aston Villa,West Ham,H
8,Man United,Wigan,H
8,Arsenal,Sunderland,H
9,Blackburn,Birmingham,H
9,Bolton,Chelsea,A
9,Fulham,Portsmouth,A
9,Liverpool,Tottenham,D
9,Man City,Middlesbrough,H
9,Newcastle,Everton,H
9,Reading,Derby,H
9,Arsenal,Bolton,H
9,Aston Villa,Man United,A
9,Blackburn,Reading,H
10,Everton,Liverpool,A
10,Fulham,Derby,D
10,Man City,Birmingham,H
10,Middlesbrough,Chelsea,A
10,Wigan,Portsmouth,A
10,West Ham,Sunderland,H
10,Newcastle,Tottenham,H
10,Birmingham,Wigan,H
10,Chelsea,Man City,H
10,Man United,Middlesbrough,H
11,Portsmouth,West Ham,D
11,Reading,Newcastle,H
11,Sunderland,Fulham,D
11,Bolton,Aston Villa,D
11,Derby,Everton,A
11,Liverpool,Arsenal,D
11,Tottenham,Blackburn,A
11,Arsenal,Man United,D
11,Aston Villa,Derby,H
11,Blackburn,Liverpool,D
12,Everton,Birmingham,H
12,Fulham,Reading,H
12,Middlesbrough,Tottenham,D
12,Newcastle,Portsmouth,A
12,Wigan,Chelsea,A
12,West Ham,Bolton,D
12,Man City,Sunderland,H
12,Derby,West Ham,A
12,Liverpool,Fulham,H
12,Sunderland,Newcastle,D
13,Birmingham,Aston Villa,A
13,Bolton,Middlesbrough,D
13,Chelsea,Everton,D
13,Man United,Blackburn,H
13,Portsmouth,Man City,D
13,Tottenham,Wigan,H
13,Reading,Arsenal,A
13,Arsenal,Wigan,H
13,Birmingham,Portsmouth,A
13,Bolton,Man United,H
14,Derby,Chelsea,A
14,Everton,Sunderland,H
14,Man City,Reading,H
14,Middlesbrough,Aston Villa,A
14,Newcastle,Liverpool,A
14,Fulham,Blackburn,D
14,West Ham,Tottenham,D
14,Blackburn,Aston Villa,A
14,Aston Villa,Arsenal,A
14,Blackburn,Newcastle,H
15,Chelsea,West Ham,H
15,Portsmouth,Everton,D
15,Reading,Middlesbrough,D
15,Sunderland,Derby,H
15,Wigan,Man City,D
15,Liverpool,Bolton,H
15,Tottenham,Birmingham,A
15,Man United,Fulham,H
15,Newcastle,Arsenal,D
15,Aston Villa,Portsmouth,A
16,Chelsea,Sunderland,H
16,Everton,Fulham,H
16,Man United,Derby,H
16,Newcastle,Birmingham,H
16,Reading,Liverpool,H
16,Blackburn,West Ham,A
16,Bolton,Wigan,H
16,Middlesbrough,Arsenal,H
16,Tottenham,Man City,H
16,Birmingham,Reading,D
17,Derby,Middlesbrough,A
17,Fulham,Newcastle,A
17,Man City,Bolton,H
17,Portsmouth,Tottenham,A
17,Sunderland,Aston Villa,D
17,West Ham,Everton,A
17,Wigan,Blackburn,H
17,Arsenal,Chelsea,H
17,Liverpool,Man United,A
17,Arsenal,Tottenham,H
18,Aston Villa,Man City,D
18,Bolton,Birmingham,H
18,Fulham,Wigan,D
18,Liverpool,Portsmouth,H
18,Middlesbrough,West Ham,A
18,Reading,Sunderland,H
18,Blackburn,Chelsea,A
18,Man United,Everton,H
18,Newcastle,Derby,D
18,Birmingham,Middlesbrough,H
19,Chelsea,Aston Villa,D
19,Derby,Liverpool,A
19,Everton,Bolton,H
19,Portsmouth,Arsenal,D
19,Sunderland,Man United,A
19,Tottenham,Fulham,H
19,West Ham,Reading,D
19,Wigan,Newcastle,H
19,Man City,Blackburn,D
19,Birmingham,Fulham,D
20,Chelsea,Newcastle,H
20,Everton,Arsenal,A
20,Portsmouth,Middlesbrough,A
20,Sunderland,Bolton,H
20,Tottenham,Reading,H
20,West Ham,Man United,H
20,Wigan,Aston Villa,A
20,Derby,Blackburn,A
20,Man City,Liverpool,D
20,Arsenal,West Ham,H
21,Aston Villa,Tottenham,H
21,Fulham,Chelsea,A
21,Man United,Birmingham,H
21,Middlesbrough,Everton,A
21,Reading,Portsmouth,A
21,Blackburn,Sunderland,H
21,Bolton,Derby,H
21,Liverpool,Wigan,D
21,Newcastle,Man City,A
21,Arsenal,Birmingham,D
22,Aston Villa,Reading,H
22,Chelsea,Tottenham,H
22,Derby,Wigan,A
22,Everton,Man City,H
22,Man United,Newcastle,H
22,Middlesbrough,Liverpool,D
22,West Ham,Fulham,H
22,Bolton,Blackburn,A
22,Sunderland,Portsmouth,H
22,Birmingham,Chelsea,A
23,Blackburn,Middlesbrough,D
23,Fulham,Arsenal,A
23,Newcastle,Bolton,D
23,Portsmouth,Derby,H
23,Reading,Man United,A
23,Tottenham,Sunderland,H
23,Man City,West Ham,D
23,Wigan,Everton,A
23,Liverpool,Aston Villa,D
23,Aston Villa,Blackburn,D
24,Arsenal,Newcastle,H
24,Bolton,Fulham,D
24,Middlesbrough,Wigan,H
24,Sunderland,Birmingham,H
24,Chelsea,Reading,H
24,Derby,Man City,D
24,Everton,Tottenham,D
24,Man United,Portsmouth,H
24,West Ham,Liverpool,H
24,Birmingham,Derby,D
25,Blackburn,Everton,D
25,Liverpool,Sunderland,H
25,Man City,Arsenal,A
25,Portsmouth,Chelsea,D
25,Reading,Bolton,A
25,Tottenham,Man United,D
25,Wigan,West Ham,H
25,Fulham,Aston Villa,H
25,Newcastle,Middlesbrough,D
25,Aston Villa,Newcastle,H
26,Bolton,Portsmouth,A
26,Derby,Tottenham,A
26,Everton,Reading,H
26,Middlesbrough,Fulham,H
26,Sunderland,Wigan,H
26,West Ham,Birmingham,D
26,Chelsea,Liverpool,D
26,Man United,Man City,A
26,Arsenal,Blackburn,H
26,Birmingham,Arsenal,D
27,Fulham,West Ham,A
27,Liverpool,Middlesbrough,H
27,Newcastle,Man United,A
27,Portsmouth,Sunderland,H
27,Wigan,Derby,H
27,Blackburn,Bolton,H
27,Reading,Aston Villa,A
27,Man City,Everton,A
27,Arsenal,Aston Villa,D
27,Birmingham,Tottenham,H
28,Derby,Sunderland,D
28,Fulham,Man United,A
28,Man City,Wigan,D
28,Middlesbrough,Reading,A
28,Newcastle,Blackburn,A
28,West Ham,Chelsea,A
28,Bolton,Liverpool,A
28,Everton,Portsmouth,H
28,Liverpool,West Ham,H
28,Blackburn,Fulham,D
29,Liverpool,Newcastle,H
29,Reading,Man City,H
29,Sunderland,Everton,A
29,Tottenham,West Ham,H
29,Wigan,Arsenal,D
29,Aston Villa,Middlesbrough,D
29,Chelsea,Derby,H
29,Portsmouth,Birmingham,H
29,Arsenal,Middlesbrough,D
29,Derby,Man United,A
30,Liverpool,Reading,H
30,Portsmouth,Aston Villa,H
30,Sunderland,Chelsea,A
30,West Ham,Blackburn,H
30,Fulham,Everton,H
30,Man City,Tottenham,H
30,Wigan,Bolton,H
