Round,HomeTeam,AwayTeam,FTR
1,Aston Villa,West Ham,H
1,Blackburn,Everton,H
1,Bolton,Fulham,D
1,Chelsea,West Brom,H
1,Sunderland,Birmingham,D
1,Tottenham,Man City,D
1,Wigan,Blackpool,A
1,Wolves,Stoke,H
1,Liverpool,Arsenal,D
1,Man United,Newcastle,H
2,Arsenal,Blackpool,H
2,Birmingham,Blackburn,H
2,Everton,Wolves,D
2,Stoke,Tottenham,A
2,West Brom,Sunderland,H
2,West Ham,Bolton,A
2,Wigan,Chelsea,A
2,Fulham,Man United,D
2,Newcastle,Aston Villa,H
2,Man City,Liverpool,H
3,Blackburn,Arsenal,A
3,Blackpool,Fulham,D
3,Chelsea,Stoke,H
3,Man United,West Ham,H
3,Tottenham,Wigan,A
3,Wolves,Newcastle,D
3,Aston Villa,Everton,H
3,Bolton,Birmingham,D
3,Liverpool,West Brom,H
3,Sunderland,Man City,H
4,Arsenal,Bolton,H
4,Everton,Man United,D
4,Fulham,Wolves,H
4,Man City,Blackburn,D
4,Newcastle,Blackpool,A
4,West Brom,Tottenham,D
4,West Ham,Chelsea,A
4,Wigan,Sunderland,D
4,Birmingham,Liverpool,D
4,Stoke,Aston Villa,H
5,Aston Villa,Bolton,D
5,Blackburn,Fulham,D
5,Everton,Newcastle,A
5,Stoke,West Ham,D
5,Sunderland,Arsenal,D
5,Tottenham,Wolves,H
5,West Brom,Birmingham,H
5,Chelsea,Blackpool,H
5,Man United,Liverpool,H
5,Wigan,Man City,A
6,Arsenal,West Brom,A
6,Birmingham,Wigan,D
6,Blackpool,Blackburn,A
6,Fulham,Everton,D
6,Liverpool,Sunderland,D
6,Man City,Chelsea,H
6,West Ham,Tottenham,H
6,Bolton,Man United,D
6,Newcastle,Stoke,A
6,Wolves,Aston Villa,A
7,Birmingham,Everton,A
7,Stoke,Blackburn,H
7,Sunderland,Man United,D
7,Tottenham,Aston Villa,H
7,West Brom,Bolton,D
7,West Ham,Fulham,D
7,Wigan,Wolves,H
7,Chelsea,Arsenal,H
7,Liverpool,Blackpool,A
7,Man City,Newcastle,H
8,Arsenal,Birmingham,H
8,Aston Villa,Chelsea,D
8,Bolton,Stoke,H
8,Fulham,Tottenham,A
8,Man United,West Brom,D
8,Newcastle,Wigan,D
8,Wolves,West Ham,D
