Round,HomeTeam,AwayTeam,FTR
1,Burnley,Swansea,A
1,Crystal Palace,West Brom,A
1,Everton,Tottenham,D
1,Hull,Leicester,H
1,Man City,Sunderland,H
1,Middlesbrough,Stoke,D
1,Southampton,Watford,D
1,Arsenal,Liverpool,A
1,Bournemouth,Man United,A
1,Chelsea,West Ham,H
2,Man United,Southampton,H
2,Burnley,Liverpool,H
2,Leicester,Arsenal,D
2,Stoke,Man City,A
2,Swansea,Hull,A
2,Tottenham,Crystal Palace,H
2,Watford,Chelsea,A
2,West Brom,Everton,A
2,Sunderland,Middlesbrough,A
2,West Ham,Bournemouth,H
3,Chelsea,Burnley,H
3,Crystal Palace,Bournemouth,D
3,Everton,Stoke,H
3,Hull,Man United,A
3,Leicester,Swansea,H
3,Southampton,Sunderland,D
3,Tottenham,Liverpool,D
3,Watford,Arsenal,A
3,Man City,West Ham,H
3,West Brom,Middlesbrough,D
4,Arsenal,Southampton,H
4,Bournemouth,West Brom,H
4,Burnley,Hull,D
4,Liverpool,Leicester,H
4,Man United,Man City,A
4,Middlesbrough,Crystal Palace,A
4,Stoke,Tottenham,A
4,West Ham,Watford,A
4,Swansea,Chelsea,D
4,Sunderland,Everton,A
5,Chelsea,Liverpool,A
5,Everton,Middlesbrough,H
5,Hull,Arsenal,A
5,Leicester,Burnley,H
5,Man City,Bournemouth,H
5,West Brom,West Ham,H
5,Crystal Palace,Stoke,H
5,Southampton,Swansea,H
5,Tottenham,Sunderland,H
5,Watford,Man United,H
6,Arsenal,Chelsea,H
6,Bournemouth,Everton,H
6,Liverpool,Hull,H
6,Man United,Leicester,H
6,Middlesbrough,Tottenham,A
6,Stoke,West Brom,D
6,Sunderland,Crystal Palace,A
6,Swansea,Man City,A
6,West Ham,Southampton,A
6,Burnley,Watford,H
7,Everton,Crystal Palace,D
7,Hull,Chelsea,A
7,Sunderland,West Brom,D
7,Swansea,Liverpool,A
7,Watford,Bournemouth,D
7,West Ham,Middlesbrough,D
7,Burnley,Arsenal,A
7,Leicester,Southampton,D
7,Man United,Stoke,D
7,Tottenham,Man City,H
8,Arsenal,Swansea,H
8,Bournemouth,Hull,H
8,Chelsea,Leicester,H
8,Crystal Palace,West Ham,A
8,Man City,Everton,D
8,Stoke,Sunderland,H
8,West Brom,Tottenham,D
8,Middlesbrough,Watford,A
8,Southampton,Burnley,H
8,Liverpool,Man United,D
9,Arsenal,Middlesbrough,D
9,Bournemouth,Tottenham,D
9,Burnley,Everton,H
9,Hull,Stoke,A
9,Leicester,Crystal Palace,H
9,Liverpool,West Brom,H
9,Swansea,Watford,D
9,West Ham,Sunderland,H
9,Chelsea,Man United,H
9,Man City,Southampton,D
10,Crystal Palace,Liverpool,A
10,Man United,Burnley,D
10,Middlesbrough,Bournemouth,H
10,Sunderland,Arsenal,A
10,Tottenham,Leicester,D
10,Watford,Hull,H
10,West Brom,Man City,A
10,Everton,West Ham,H
10,Southampton,Chelsea,A
10,Stoke,Swansea,H
11,Bournemouth,Sunderland,A
11,Burnley,Crystal Palace,H
11,Chelsea,Everton,H
11,Man City,Middlesbrough,D
11,West Ham,Stoke,D
11,Arsenal,Tottenham,D
11,Hull,Southampton,H
11,Leicester,West Brom,A
11,Liverpool,Watford,H
11,Swansea,Man United,A
12,Crystal Palace,Man City,A
12,Everton,Swansea,D
12,Man United,Arsenal,D
12,Southampton,Liverpool,D
12,Stoke,Bournemouth,A
12,Sunderland,Hull,H
12,Tottenham,West Ham,H
12,Watford,Leicester,H
12,Middlesbrough,Chelsea,A
12,West Brom,Burnley,H
13,Burnley,Man City,A
13,Chelsea,Tottenham,H
13,Hull,West Brom,D
13,Leicester,Middlesbrough,D
13,Liverpool,Sunderland,H
13,Swansea,Crystal Palace,H
13,Arsenal,Bournemouth,H
13,Man United,West Ham,D
13,Southampton,Everton,H
13,Watford,Stoke,A
