Round,HomeTeam,AwayTeam,FTR
1,Charlton,Man City,H
1,Chelsea,West Ham,H
1,Coventry,Middlesbrough,A
1,Derby,Southampton,D
1,Leeds,Everton,H
1,Leicester,Aston Villa,D
1,Liverpool,Bradford,H
1,Sunderland,Arsenal,H
1,Tottenham,Ipswich,H
1,Man United,Newcastle,H
2,Arsenal,Liverpool,H
2,Bradford,Chelsea,H
2,Ipswich,Man United,D
2,Middlesbrough,Tottenham,D
2,Everton,Charlton,H
2,Man City,Sunderland,H
2,Newcastle,Derby,H
2,Southampton,Coventry,A
2,West Ham,Leicester,A
2,Arsenal,Charlton,H
3,Bradford,Leicester,D
3,Everton,Derby,D
3,Ipswich,Sunderland,H
3,Man City,Coventry,A
3,Middlesbrough,Leeds,A
3,Newcastle,Tottenham,H
3,Southampton,Liverpool,D
3,West Ham,Man United,D
3,Aston Villa,Chelsea,D
3,Leeds,Man City,A
4,Man United,Bradford,H
4,Sunderland,West Ham,D
4,Tottenham,Everton,H
4,Charlton,Southampton,D
4,Chelsea,Arsenal,D
4,Coventry,Newcastle,A
4,Derby,Middlesbrough,D
4,Leicester,Ipswich,H
4,Liverpool,Aston Villa,H
4,Bradford,Arsenal,D
5,Coventry,Leeds,D
5,Ipswich,Aston Villa,A
5,Leicester,Southampton,H
5,Liverpool,Man City,H
5,Man United,Sunderland,H
5,Middlesbrough,Everton,A
5,Newcastle,Chelsea,D
5,Derby,Charlton,D
5,Tottenham,West Ham,H
5,Arsenal,Coventry,H
6,Aston Villa,Bradford,H
6,Charlton,Tottenham,H
6,Everton,Man United,A
6,Leeds,Ipswich,A
6,Southampton,Newcastle,H
6,Sunderland,Derby,H
6,Chelsea,Leicester,A
6,Man City,Middlesbrough,D
6,West Ham,Liverpool,D
6,Bradford,Southampton,A
7,Coventry,West Ham,A
7,Derby,Leeds,D
7,Ipswich,Arsenal,D
7,Liverpool,Sunderland,D
7,Man United,Chelsea,D
7,Middlesbrough,Aston Villa,D
7,Newcastle,Charlton,A
7,Tottenham,Man City,D
7,Leicester,Everton,D
7,Aston Villa,Derby,H
8,Charlton,Coventry,D
8,Everton,Ipswich,A
8,Leeds,Tottenham,H
8,Man City,Newcastle,A
8,Southampton,Middlesbrough,A
8,West Ham,Bradford,D
8,Arsenal,Man United,H
8,Chelsea,Liverpool,H
8,Sunderland,Leicester,D
8,Arsenal,Aston Villa,H
9,Coventry,Tottenham,H
9,Everton,Southampton,D
9,Ipswich,West Ham,D
9,Leeds,Charlton,H
9,Leicester,Man United,A
9,Man City,Bradford,H
9,Sunderland,Chelsea,H
