Round,HomeTeam,AwayTeam,FTR
1,Liverpool,Norwich,H
1,West Ham,Man City,A
1,Bournemouth,Sheffield United,D
1,Burnley,Southampton,H
1,Crystal Palace,Everton,D
1,Watford,Brighton,A
1,Tottenham,Aston Villa,H
1,Leicester,Wolves,D
1,Newcastle,Arsenal,A
1,Man United,Chelsea,H
2,Arsenal,Burnley,H
2,Aston Villa,Bournemouth,A
2,Brighton,West Ham,D
2,Everton,Watford,H
2,Norwich,Newcastle,H
2,Southampton,Liverpool,A
2,Man City,Tottenham,D
2,Sheffield United,Crystal Palace,H
2,Chelsea,Leicester,D
2,Wolves,Man United,D
3,Aston Villa,Everton,H
3,Norwich,Chelsea,A
3,Brighton,Southampton,A
3,Man United,Crystal Palace,A
3,Sheffield United,Leicester,A
3,Watford,West Ham,A
3,Liverpool,Arsenal,H
3,Bournemouth,Man City,A
3,Tottenham,Newcastle,A
3,Wolves,Burnley,D
4,Southampton,Man United,D
4,Chelsea,Sheffield United,D
4,Crystal Palace,Aston Villa,H
4,Leicester,Bournemouth,H
4,Man City,Brighton,H
4,Newcastle,Watford,D
4,West Ham,Norwich,H
4,Burnley,Liverpool,A
4,Everton,Wolves,H
4,Arsenal,Tottenham,D
5,Liverpool,Newcastle,H
5,Brighton,Burnley,D
5,Man United,Leicester,H
5,Sheffield United,Southampton,A
5,Tottenham,Crystal Palace,H
5,Wolves,Chelsea,A
5,Norwich,Man City,H
5,Bournemouth,Everton,H
5,Watford,Arsenal,D
5,Aston Villa,West Ham,D
6,Southampton,Bournemouth,A
6,Leicester,Tottenham,H
6,Burnley,Norwich,H
6,Everton,Sheffield United,A
6,Man City,Watford,H
6,Newcastle,Brighton,D
6,Crystal Palace,Wolves,D
6,West Ham,Man United,H
6,Arsenal,Aston Villa,H
6,Chelsea,Liverpool,A
7,Sheffield United,Liverpool,A
7,Aston Villa,Burnley,D
7,Bournemouth,West Ham,D
7,Chelsea,Brighton,H
7,Crystal Palace,Norwich,H
7,Tottenham,Southampton,H
7,Wolves,Watford,H
7,Everton,Man City,A
7,Leicester,Newcastle,H
7,Man United,Arsenal,D
8,Brighton,Tottenham,H
8,Burnley,Everton,H
8,Liverpool,Leicester,H
8,Norwich,Aston Villa,A
8,Watford,Sheffield United,D
8,West Ham,Crystal Palace,A
8,Arsenal,Bournemouth,H
8,Man City,Wolves,A
8,Southampton,Chelsea,A
8,Newcastle,Man United,H
9,Everton,West Ham,H
9,Aston Villa,Brighton,H
9,Bournemouth,Norwich,D
9,Chelsea,Newcastle,H
9,Leicester,Burnley,H
9,Tottenham,Watford,D
9,Wolves,Southampton,D
9,Crystal Palace,Man City,A
9,Man United,Liverpool,D
9,Sheffield United,Arsenal,H
10,Southampton,Leicester,A
10,Man City,Aston Villa,H
10,Brighton,Everton,H
10,Watford,Bournemouth,D
10,West Ham,Sheffield United,D
10,Burnley,Chelsea,A
10,Newcastle,Wolves,D
10,Arsenal,Crystal Palace,D
10,Liverpool,Tottenham,H
10,Norwich,Man United,A
11,Bournemouth,Man United,H
11,Arsenal,Wolves,D
11,Aston Villa,Liverpool,A
11,Brighton,Norwich,H
11,Man City,Southampton,H
11,Sheffield United,Burnley,H
11,West Ham,Newcastle,A
11,Watford,Chelsea,A
11,Crystal Palace,Leicester,A
11,Everton,Tottenham,D
12,Norwich,Watford,A
12,Chelsea,Crystal Palace,H
12,Burnley,West Ham,H
12,Newcastle,Bournemouth,H
12,Southampton,Everton,A
12,Tottenham,Sheffield United,D
12,Leicester,Arsenal,H
12,Man United,Brighton,H
12,Wolves,Aston Villa,H
12,Liverpool,Man City,H
13,West Ham,Tottenham,A
13,Arsenal,Southampton,D
13,Bournemouth,Wolves,A
13,Brighton,Leicester,A
13,Crystal Palace,Liverpool,A
13,Everton,Norwich,A
13,Watford,Burnley,A
13,Man City,Chelsea,H
13,Sheffield United,Man United,D
13,Aston Villa,Newcastle,H
14,Newcastle,Man City,D
14,Burnley,Crystal Palace,A
14,Chelsea,West Ham,A
14,Liverpool,Brighton,H
14,Tottenham,Bournemouth,H
14,Southampton,Watford,H
14,Norwich,Arsenal,D
14,Wolves,Sheffield United,D
14,Leicester,Everton,H
14,Man United,Aston Villa,D
15,Crystal Palace,Bournemouth,H
15,Burnley,Man City,A
15,Chelsea,Aston Villa,H
15,Leicester,Watford,H
15,Man United,Tottenham,H
15,Southampton,Norwich,H
15,Wolves,West Ham,H
15,Liverpool,Everton,H
15,Sheffield United,Newcastle,A
15,Arsenal,Brighton,A
16,Everton,Chelsea,H
16,Bournemouth,Liverpool,A
16,Tottenham,Burnley,H
16,Watford,Crystal Palace,D
16,Man City,Man United,A
16,Aston Villa,Leicester,A
16,Newcastle,Southampton,H
16,Norwich,Sheffield United,A
16,Brighton,Wolves,D
16,West Ham,Arsenal,A
17,Liverpool,Watford,H
17,Burnley,Newcastle,H
17,Chelsea,Bournemouth,A
17,Leicester,Norwich,D
17,Sheffield United,Aston Villa,H
17,Southampton,West Ham,A
17,Man United,Everton,D
17,Wolves,Tottenham,A
17,Arsenal,Man City,A
17,Crystal Palace,Brighton,D
18,Everton,Arsenal,D
18,Aston Villa,Southampton,A
18,Bournemouth,Burnley,A
18,Brighton,Sheffield United,A
18,Newcastle,Crystal Palace,H
18,Norwich,Wolves,A
18,Man City,Leicester,H
18,Watford,Man United,H
18,Tottenham,Chelsea,A
18,Tottenham,Brighton,H
19,Aston Villa,Norwich,H
19,Bournemouth,Arsenal,D
19,Chelsea,Southampton,A
19,Crystal Palace,West Ham,H
19,Everton,Burnley,H
19,Sheffield United,Watford,D
19,Man United,Newcastle,H
19,Leicester,Liverpool,A
19,Wolves,Man City,H
19,Brighton,Bournemouth,H
20,Newcastle,Everton,A
20,Southampton,Crystal Palace,D
20,Watford,Aston Villa,H
20,Norwich,Tottenham,D
20,West Ham,Leicester,A
20,Burnley,Man United,A
20,Arsenal,Chelsea,A
20,Liverpool,Wolves,H
20,Man City,Sheffield United,H
20,Brighton,Chelsea,D
21,Burnley,Aston Villa,A
21,Newcastle,Leicester,A
21,Southampton,Tottenham,H
21,Watford,Wolves,H
21,Man City,Everton,H
21,Norwich,Crystal Palace,D
21,West Ham,Bournemouth,H
21,Arsenal,Man United,H
21,Liverpool,Sheffield United,H
21,Sheffield United,West Ham,H
22,Crystal Palace,Arsenal,D
22,Chelsea,Burnley,H
22,Everton,Brighton,H
22,Leicester,Southampton,A
22,Man United,Norwich,H
22,Wolves,Newcastle,D
22,Tottenham,Liverpool,A
22,Bournemouth,Watford,A
22,Aston Villa,Man City,A
22,Watford,Tottenham,D
23,Arsenal,Sheffield United,D
23,Brighton,Aston Villa,D
23,Man City,Crystal Palace,D
23,Norwich,Bournemouth,H
23,Southampton,Wolves,A
23,West Ham,Everton,D
23,Newcastle,Chelsea,H
23,Burnley,Leicester,H
23,Liverpool,Man United,H
23,Aston Villa,Watford,H
24,Bournemouth,Brighton,H
24,Crystal Palace,Southampton,A
24,Everton,Newcastle,D
24,Sheffield United,Man City,A
